# kurt_ECR, kurt_FCU, skew_ECR, skew_FCU, SSC_ECR, SSC_FCU
7.513000505498437676e+00, 7.531466037551043158e+00, 2.499863982207729762e+00, 2.440570320990230524e+00, 0.000000000000000000e+00, 4.000000000000000000e+00
1.247106731340621799e+01, 5.273140444345219890e+00, 2.981196263589167117e+00, 2.039822846278789292e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.001964714351604080e+01, 3.845191180260361996e+00, 2.747792123506970441e+00, 1.903463071442874854e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.176706242135065139e+00, 5.140927555773446400e+00, 2.474609633052084590e+00, 2.047219526633345499e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
1.201132020022034830e+01, 3.958297923551133302e+00, 3.041217646828814125e+00, 1.878450734887174400e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
5.061119431590512363e+00, 4.376354583416994792e+00, 2.076345604908731435e+00, 1.957104428145584718e+00, 0.000000000000000000e+00, 4.000000000000000000e+00
6.134818857142589010e+00, 5.887334733992888758e+00, 2.197035355683853552e+00, 2.215638584605376327e+00, 0.000000000000000000e+00, 1.400000000000000000e+01
3.357078545721977392e+00, 8.616787494016485027e+00, 1.775588529445446095e+00, 2.607049132066159292e+00, 0.000000000000000000e+00, 1.000000000000000000e+01
1.034183653600879005e+01, 5.639547501408559427e+00, 2.541272940673158676e+00, 2.260301122193457246e+00, 0.000000000000000000e+00, 7.000000000000000000e+00
5.443133305082556106e+00, 5.090839553735838408e+00, 2.048767595029242106e+00, 2.068164253409630060e+00, 0.000000000000000000e+00, 6.000000000000000000e+00
2.680779724441207712e+00, 3.132263053033689459e+00, 1.598104479247696164e+00, 1.730018582010113271e+00, 0.000000000000000000e+00, 1.400000000000000000e+01
4.865420315647570604e+00, 4.667706055922514530e+00, 1.938970687390576542e+00, 2.041603001610101664e+00, 0.000000000000000000e+00, 7.000000000000000000e+00
1.430471077589140805e+01, 3.784285210318736326e+00, 2.824511377918897725e+00, 1.861188435526317297e+00, 0.000000000000000000e+00, 5.000000000000000000e+00
1.026889890529020377e+01, 6.850961243128415035e+00, 2.577010510082905270e+00, 2.207108464505761258e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
4.607568666978806071e+00, 5.048551179975989456e+00, 1.881735748648824647e+00, 2.087165307634525124e+00, 0.000000000000000000e+00, 6.000000000000000000e+00
5.019352950510626243e+00, 4.924249180173352336e+00, 1.933954322579030105e+00, 2.051124999159364748e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
3.486681494954111393e+00, 5.339343257831592027e+00, 1.733682942368960367e+00, 2.021149014708052860e+00, 0.000000000000000000e+00, 4.000000000000000000e+00
6.055678394117165908e+00, 6.280693567596188132e+00, 2.005134061182166416e+00, 2.270815237468559289e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
3.683330599919391268e+00, 3.778662352052284845e+00, 1.699840777989304774e+00, 1.904701031377265208e+00, 0.000000000000000000e+00, 5.000000000000000000e+00
4.161740218613342535e+00, 4.524670126112021684e+00, 1.835653397761877192e+00, 1.976935686827834937e+00, 0.000000000000000000e+00, 5.000000000000000000e+00
4.277690045925123918e+00, 8.447380261767813536e+00, 1.734462772533325925e+00, 2.406094042201044836e+00, 0.000000000000000000e+00, 8.000000000000000000e+00
7.081225786012804946e+00, 7.146014739501159951e+00, 2.180336585750850098e+00, 2.320320615953660237e+00, 0.000000000000000000e+00, 4.000000000000000000e+00
4.159251192873560043e+00, 3.936122992125594244e+00, 1.711594063925138354e+00, 1.902333096964744064e+00, 0.000000000000000000e+00, 1.300000000000000000e+01
4.397204035447016324e+00, 5.059498059958450256e+00, 1.808585392887477328e+00, 2.041623498938714310e+00, 0.000000000000000000e+00, 2.900000000000000000e+01
3.702517801829408484e+00, 7.929601538709837527e+00, 1.723833137684804839e+00, 2.455741543385299597e+00, 0.000000000000000000e+00, 1.600000000000000000e+01
4.044507784315236165e+00, 7.502334461455765435e+00, 1.691913896013331087e+00, 2.288243409894972658e+00, 0.000000000000000000e+00, 7.000000000000000000e+00
