# WA_ECR, WA_FCU, WL_ECR, WL_FCU, SD_ECR, SD_FCU
2.600000000000000000e+01, 3.210000000000000000e+02, 2.544812732899574215e+01, 6.063733409887492343e+01, 3.470848767733389351e-02, 1.107292234460272029e-01
3.000000000000000000e+00, 2.660000000000000000e+02, 1.697324521403299258e+01, 5.173658057345016203e+01, 2.305190412825411719e-02, 9.373533641985551390e-02
4.000000000000000000e+00, 1.590000000000000000e+02, 1.439315327984128601e+01, 3.469087150108859419e+01, 2.467136272266816366e-02, 8.630368837892349321e-02
2.000000000000000000e+01, 2.190000000000000000e+02, 2.069194978816478780e+01, 4.725911133341958958e+01, 2.979411206487068975e-02, 8.688626518763059581e-02
5.000000000000000000e+00, 3.020000000000000000e+02, 2.136849008594742116e+01, 5.519831110157723941e+01, 3.009411935905844174e-02, 1.041133133779987008e-01
1.400000000000000000e+01, 2.060000000000000000e+02, 1.940955054957266768e+01, 4.115648598389370250e+01, 2.894067871610989801e-02, 9.456726893134821677e-02
3.000000000000000000e+01, 2.190000000000000000e+02, 2.392974442135403734e+01, 4.447491453820030927e+01, 3.682036331606482887e-02, 8.260161166200133409e-02
2.300000000000000000e+01, 2.290000000000000000e+02, 2.171895609086576684e+01, 4.700408978661833714e+01, 3.448909536690961813e-02, 8.629935263016601243e-02
1.000000000000000000e+01, 1.740000000000000000e+02, 2.013671869692554850e+01, 4.023936287478329632e+01, 2.802823436150329167e-02, 8.862693364367495164e-02
1.200000000000000000e+01, 1.790000000000000000e+02, 2.148392729899510911e+01, 4.267432764244911425e+01, 2.824781849128688363e-02, 7.638099486860529252e-02
9.000000000000000000e+00, 2.230000000000000000e+02, 2.104075969226695975e+01, 4.601655431923447281e+01, 2.877534415746291555e-02, 8.151378243735835083e-02
6.000000000000000000e+00, 1.490000000000000000e+02, 1.789667976561323570e+01, 3.840319269735769581e+01, 2.630085050961105536e-02, 7.891297705321291545e-02
7.000000000000000000e+00, 2.020000000000000000e+02, 2.114050415398524052e+01, 4.283279890203245088e+01, 2.635109019701713587e-02, 9.138706965045896580e-02
5.000000000000000000e+00, 1.940000000000000000e+02, 1.927447018215111285e+01, 4.186569252248177264e+01, 2.610715296918826936e-02, 7.777772927681456117e-02
3.000000000000000000e+00, 2.470000000000000000e+02, 1.961946904333833430e+01, 4.940990863834718994e+01, 2.480112675518911583e-02, 9.154468690435380029e-02
1.500000000000000000e+01, 1.250000000000000000e+02, 1.910896547304309223e+01, 3.573715635852260419e+01, 2.903655156835884682e-02, 7.118294830666810347e-02
4.400000000000000000e+01, 3.010000000000000000e+02, 2.795117430267560010e+01, 5.684723051729604748e+01, 3.741134629109449383e-02, 1.154857677029230006e-01
5.100000000000000000e+01, 4.400000000000000000e+02, 3.181281194230601272e+01, 7.567451120931067976e+01, 4.215037559865664890e-02, 1.484526303828343219e-01
4.800000000000000000e+01, 3.300000000000000000e+02, 2.932677901375893725e+01, 6.246982513641543733e+01, 3.670288916936882001e-02, 1.228966057469560585e-01
3.200000000000000000e+01, 3.000000000000000000e+02, 2.911830877027526299e+01, 6.028031948610258439e+01, 3.520312406409140116e-02, 9.358832740421577090e-02
3.400000000000000000e+01, 2.750000000000000000e+02, 2.621919484022034652e+01, 5.113698461047476229e+01, 4.342843956572348812e-02, 1.097999514872760596e-01
3.300000000000000000e+01, 3.420000000000000000e+02, 2.817737731131859036e+01, 6.038066072634079973e+01, 3.560922983411250742e-02, 1.283281243510865921e-01
2.500000000000000000e+01, 2.760000000000000000e+02, 2.576716349490601843e+01, 5.423135562394130460e+01, 3.495440908170822925e-02, 1.074063097113111265e-01
5.200000000000000000e+01, 2.970000000000000000e+02, 2.803976220944878861e+01, 5.511751061583761668e+01, 3.990571882272139770e-02, 9.541148031237979554e-02
4.300000000000000000e+01, 3.040000000000000000e+02, 2.810886901177719110e+01, 5.648517041673430583e+01, 3.946462560437793976e-02, 1.272230222097514019e-01
1.900000000000000000e+01, 2.530000000000000000e+02, 2.628015966233308021e+01, 4.872227876414299885e+01, 3.227380579006305233e-02, 1.114257880751753638e-01
2.100000000000000000e+01, 2.190000000000000000e+02, 2.380599291373544446e+01, 4.531153409444231528e+01, 3.064053522381850192e-02, 9.053763821093523123e-02
2.100000000000000000e+01, 2.330000000000000000e+02, 2.363249264604403876e+01, 4.790096637385234146e+01, 3.129990899303479457e-02, 9.513998060748422858e-02
5.200000000000000000e+01, 3.860000000000000000e+02, 3.518922023778494435e+01, 7.192478714276026608e+01, 3.621381970498022129e-02, 1.156256213621181389e-01
1.290000000000000000e+02, 3.100000000000000000e+01, 2.859131160366011670e+01, 2.357340800691595462e+01, 6.835096625491271505e-02, 5.516210479531021005e-02
1.100000000000000000e+02, 5.700000000000000000e+01, 2.763573838001921956e+01, 2.793555514570488185e+01, 5.188563945361232554e-02, 6.275616764986581553e-02
7.700000000000000000e+01, 4.200000000000000000e+01, 1.963243700804995129e+01, 2.254141802277136719e+01, 4.884070687799633992e-02, 5.746589965706010855e-02
1.070000000000000000e+02, 3.000000000000000000e+01, 2.421523102489040724e+01, 2.065515652423913551e+01, 5.499561262106984066e-02, 5.303066318344572955e-02
1.180000000000000000e+02, 1.700000000000000000e+01, 2.584684748470351678e+01, 2.203345516973044482e+01, 5.822559224356334273e-02, 4.464986823962808354e-02
1.020000000000000000e+02, 3.100000000000000000e+01, 2.362309752270390817e+01, 2.491423939176189251e+01, 5.417862179529169681e-02, 5.506890248972284158e-02
6.000000000000000000e+01, 3.200000000000000000e+01, 1.690398676292829450e+01, 1.987477647918597512e+01, 4.324422822120358584e-02, 5.869397624714207257e-02
1.490000000000000000e+02, 1.100000000000000000e+02, 3.166181449283129368e+01, 3.446782758825947468e+01, 6.097387464638431842e-02, 9.022511872010871570e-02
1.490000000000000000e+02, 6.000000000000000000e+01, 2.945203477416637483e+01, 2.497729661677126956e+01, 6.880576373823174552e-02, 7.112973259354841982e-02
1.200000000000000000e+02, 3.200000000000000000e+01, 2.732820950687957051e+01, 2.265674875566427460e+01, 7.534916010145549514e-02, 5.099918734200067916e-02
9.100000000000000000e+01, 2.600000000000000000e+01, 2.149679374748547289e+01, 1.886938079208235663e+01, 5.734901652806151384e-02, 5.151120522642860938e-02
8.200000000000000000e+01, 2.700000000000000000e+01, 2.109163254012234745e+01, 1.887192374090935232e+01, 6.309118208160741093e-02, 5.311958048775942964e-02
1.000000000000000000e+02, 3.400000000000000000e+01, 2.507798091577698330e+01, 2.060280476595915999e+01, 5.692877055466211839e-02, 5.522719903053034674e-02
1.070000000000000000e+02, 3.600000000000000000e+01, 2.734431181666446165e+01, 2.391404120685601242e+01, 5.241192605684687894e-02, 5.275173868834194535e-02
1.650000000000000000e+02, 8.400000000000000000e+01, 3.352503427901326916e+01, 3.006877475477967465e+01, 7.253434041445960823e-02, 7.561578644999204790e-02
1.200000000000000000e+02, 6.700000000000000000e+01, 3.109691755771748589e+01, 2.774173947141810714e+01, 6.080201167689444630e-02, 6.378640896191019316e-02
9.100000000000000000e+01, 4.900000000000000000e+01, 2.510009907782233540e+01, 2.220685798079104245e+01, 5.579477628354989616e-02, 5.583002538707837470e-02
1.260000000000000000e+02, 3.500000000000000000e+01, 2.840919699796781472e+01, 2.126525119511148887e+01, 6.847634237166359827e-02, 5.813026767393109084e-02
1.120000000000000000e+02, 2.500000000000000000e+01, 2.667915357969735624e+01, 1.869652487353267034e+01, 7.215177285561595599e-02, 4.784967865630940231e-02
8.700000000000000000e+01, 3.500000000000000000e+01, 2.424399451359133195e+01, 2.091412138261899401e+01, 6.694712560375264132e-02, 6.025078910485857225e-02
1.070000000000000000e+02, 3.000000000000000000e+01, 2.723002604289794348e+01, 2.379870711230950064e+01, 5.011191712353596506e-02, 4.964284635213933594e-02
1.070000000000000000e+02, 2.700000000000000000e+01, 2.446909735707395939e+01, 2.258187247857472002e+01, 5.436461583507395945e-02, 4.742653793482470848e-02
6.000000000000000000e+01, 2.800000000000000000e+01, 2.362687767256896265e+01, 2.356133850574668998e+01, 4.628426731138782918e-02, 5.522676860394277326e-02
9.600000000000000000e+01, 2.300000000000000000e+01, 2.689879196422301533e+01, 1.987680158634420735e+01, 5.540165347266303580e-02, 5.205563644446911664e-02
9.700000000000000000e+01, 3.400000000000000000e+01, 2.796200971962975146e+01, 2.402515527400086626e+01, 5.904372220228884527e-02, 5.870508449853788918e-02
1.200000000000000000e+02, 7.100000000000000000e+01, 3.052048575287319565e+01, 2.763525089991459538e+01, 6.779919250448204759e-02, 6.364938544559761713e-02
1.280000000000000000e+02, 7.400000000000000000e+01, 2.787732698685201527e+01, 2.712430292764090467e+01, 6.463560847103282103e-02, 6.676238519491091428e-02
1.150000000000000000e+02, 5.300000000000000000e+01, 2.514778405024623353e+01, 2.527315951798609106e+01, 6.039159712242786471e-02, 5.799894789010518609e-02
1.320000000000000000e+02, 8.800000000000000000e+01, 3.380541696898202986e+01, 3.706305237890366300e+01, 6.026848236129611625e-02, 6.534009230500385790e-02
2.700000000000000000e+02, 1.570000000000000000e+02, 5.693245977669243274e+01, 5.168450048347547465e+01, 7.274273051142472746e-02, 7.903455912136048145e-02
4.670000000000000000e+02, 2.200000000000000000e+01, 9.057299445907216295e+01, 2.558054769559080199e+01, 1.188130987687152362e-01, 4.015546255853474217e-02
4.060000000000000000e+02, 2.300000000000000000e+01, 8.295773679871489037e+01, 2.885291701745568460e+01, 1.086939321575987466e-01, 3.739948785521225727e-02
5.800000000000000000e+02, 4.800000000000000000e+01, 1.068291003953061420e+02, 3.100307689707010894e+01, 1.286136084028816906e-01, 5.321906457010078251e-02
4.810000000000000000e+02, 1.300000000000000000e+01, 9.585273333519882044e+01, 2.580696213854926668e+01, 1.378752907995862143e-01, 3.418559495282814248e-02
4.330000000000000000e+02, 5.400000000000000000e+01, 8.910985477970112356e+01, 2.802572515812580178e+01, 1.216177936946920002e-01, 5.450952354519753018e-02
4.760000000000000000e+02, 5.200000000000000000e+01, 1.004709759233363968e+02, 3.914412994306221805e+01, 1.162852717181598466e-01, 4.405855575754674680e-02
6.140000000000000000e+02, 3.600000000000000000e+01, 1.185279091867012227e+02, 3.121183192207819346e+01, 1.466132562244762960e-01, 4.074493178824496048e-02
5.940000000000000000e+02, 3.700000000000000000e+01, 1.087799433115451251e+02, 4.040090795551072489e+01, 1.094457973998176487e-01, 4.722097719713828218e-02
4.750000000000000000e+02, 6.200000000000000000e+01, 9.232001689822108403e+01, 3.990341902645737804e+01, 1.096132254009561241e-01, 4.805141448723940223e-02
4.060000000000000000e+02, 2.300000000000000000e+01, 7.945912169209670139e+01, 2.587278198584885303e+01, 1.156975609368579710e-01, 3.768950016587814533e-02
4.390000000000000000e+02, 1.000000000000000000e+01, 8.613534680508762165e+01, 2.420720105736009131e+01, 1.188784791205550195e-01, 3.145642121559238946e-02
3.520000000000000000e+02, 3.100000000000000000e+01, 7.222407049491407349e+01, 3.103029998922446708e+01, 9.089447692660904132e-02, 3.929985901248181368e-02
5.160000000000000000e+02, 1.700000000000000000e+01, 9.669286463127279774e+01, 2.702456012301259847e+01, 1.210716586271828460e-01, 3.363655017622393939e-02
5.800000000000000000e+02, 7.000000000000000000e+00, 1.127639068630537338e+02, 2.448323376883600844e+01, 1.336003660341463228e-01, 3.207052567916179875e-02
4.960000000000000000e+02, 2.000000000000000000e+00, 9.467563053167242515e+01, 2.469117263836616516e+01, 1.039587862506648752e-01, 2.898533308069773176e-02
5.440000000000000000e+02, 6.000000000000000000e+00, 1.076920944571602519e+02, 2.533058363224115439e+01, 1.298275320888296613e-01, 3.246269527202082228e-02
5.280000000000000000e+02, 1.300000000000000000e+01, 1.063531643897908481e+02, 2.748154619087782535e+01, 1.398255056992439294e-01, 3.459206019393670783e-02
5.450000000000000000e+02, 1.900000000000000000e+01, 1.021906574822187679e+02, 2.547390154756266156e+01, 1.297687664425491161e-01, 3.730933544264759122e-02
4.590000000000000000e+02, 0.000000000000000000e+00, 8.904893050087370909e+01, 2.405375616437959252e+01, 1.020622715785604595e-01, 2.768626686631913553e-02
5.390000000000000000e+02, 1.300000000000000000e+01, 9.898739762118202634e+01, 2.676185583491035302e+01, 1.121370664678899703e-01, 3.820251999817970284e-02
6.270000000000000000e+02, 5.000000000000000000e+00, 1.194304869210017301e+02, 2.636376845545882119e+01, 1.494770491624621278e-01, 3.481031330075745611e-02
3.870000000000000000e+02, 4.000000000000000000e+01, 7.904244004194063677e+01, 3.560746607571765310e+01, 9.445403954570096017e-02, 4.563581843209226635e-02
4.810000000000000000e+02, 2.700000000000000000e+01, 9.439828756720245906e+01, 2.715176068910751539e+01, 1.233754354148010879e-01, 3.890430633081532613e-02
4.480000000000000000e+02, 6.000000000000000000e+00, 9.084220161996748288e+01, 2.434072025527037297e+01, 1.050243356059764183e-01, 3.146810206662996323e-02
5.680000000000000000e+02, 1.500000000000000000e+01, 1.155783511042614151e+02, 2.552482163068837195e+01, 1.327834878490770920e-01, 3.329350557662467264e-02
6.350000000000000000e+02, 5.000000000000000000e+00, 1.213630338404400675e+02, 2.529087428822465355e+01, 1.444068813127373230e-01, 3.005639122933302307e-02
5.430000000000000000e+02, 2.200000000000000000e+01, 1.088910089373074754e+02, 2.904664225784688014e+01, 1.230636036333185718e-01, 4.318743273287414808e-02
5.820000000000000000e+02, 1.300000000000000000e+01, 1.128896606123927455e+02, 2.582282390792470750e+01, 1.374805669685219556e-01, 3.812926649327588735e-02
6.000000000000000000e+02, 7.000000000000000000e+00, 1.152623863361345826e+02, 2.584086190619218826e+01, 1.148077751680826597e-01, 3.181806637586553216e-02
6.260000000000000000e+02, 1.400000000000000000e+01, 1.274410534414311797e+02, 2.667646164353949700e+01, 1.613776982153099504e-01, 3.587069849131683391e-02
2.660000000000000000e+02, 6.300000000000000000e+01, 6.121362478607148461e+01, 3.243173193419355016e+01, 6.966279251969445530e-02, 4.319213577167459878e-02
4.020000000000000000e+02, 8.500000000000000000e+01, 7.795714356881973117e+01, 3.767588282056604498e+01, 9.562423847208144367e-02, 4.812808383271546808e-02
3.930000000000000000e+02, 6.700000000000000000e+01, 7.445954975818273169e+01, 3.630284078924943003e+01, 8.578950714316314896e-02, 4.932835675110786022e-02
5.130000000000000000e+02, 9.800000000000000000e+01, 9.072365711682328993e+01, 4.049430541585944354e+01, 1.121096887571610412e-01, 5.877339890016362867e-02
5.480000000000000000e+02, 7.700000000000000000e+01, 9.273525767378521323e+01, 4.024267810960055414e+01, 1.079228896318684405e-01, 5.334638161488049896e-02
3.830000000000000000e+02, 9.100000000000000000e+01, 7.536017173877803543e+01, 4.229029483853710758e+01, 9.067093844098950139e-02, 6.023887754747259821e-02
5.010000000000000000e+02, 7.700000000000000000e+01, 8.821346217924967448e+01, 3.469160652363905939e+01, 1.043474772512929111e-01, 5.478867310891776671e-02
3.880000000000000000e+02, 6.100000000000000000e+01, 7.649869520913424026e+01, 3.617870888982605493e+01, 9.447526191584296185e-02, 5.092217036962088522e-02
4.230000000000000000e+02, 1.010000000000000000e+02, 8.158639797848573494e+01, 3.896300983666839102e+01, 1.014545525823805916e-01, 5.822853935468449982e-02
3.400000000000000000e+02, 6.600000000000000000e+01, 6.891338321922252419e+01, 3.257360388698717912e+01, 7.889914473619066837e-02, 5.080416099289918053e-02
2.500000000000000000e+02, 2.300000000000000000e+01, 5.991998741228240277e+01, 2.860054562656626587e+01, 7.612446688863795663e-02, 4.371741877793593883e-02
4.840000000000000000e+02, 7.100000000000000000e+01, 8.855260231880109245e+01, 3.479915686426225818e+01, 9.989257216177092891e-02, 5.678090378432093521e-02
4.370000000000000000e+02, 4.400000000000000000e+01, 8.559936451659612544e+01, 2.982373742245376036e+01, 1.010949954284320745e-01, 5.101705502950038690e-02
4.770000000000000000e+02, 4.700000000000000000e+01, 9.563637855435182189e+01, 3.221853575059184038e+01, 1.048250322197051554e-01, 4.839623760161164412e-02
4.770000000000000000e+02, 4.100000000000000000e+01, 9.090964775683936239e+01, 3.321760275738874668e+01, 1.067658050323808255e-01, 4.720498493438500531e-02
4.480000000000000000e+02, 3.400000000000000000e+01, 8.857189031932759349e+01, 3.110744478508490118e+01, 8.520433071685452886e-02, 4.679955356367835467e-02
5.180000000000000000e+02, 8.200000000000000000e+01, 9.566838226747313456e+01, 3.395277718368237174e+01, 1.034095418974416425e-01, 5.358145541048080218e-02
4.870000000000000000e+02, 8.900000000000000000e+01, 9.541688319411179009e+01, 4.200418114092542510e+01, 1.010597452794171208e-01, 5.830119316162425680e-02
4.860000000000000000e+02, 9.500000000000000000e+01, 9.588019346190516501e+01, 3.927360642702770832e+01, 1.007661290775759000e-01, 5.723107813001895861e-02
4.750000000000000000e+02, 6.700000000000000000e+01, 8.782113757746385829e+01, 3.315377936630361688e+01, 1.044237751269947168e-01, 5.659319280461028168e-02
4.200000000000000000e+02, 8.300000000000000000e+01, 8.438032544255892731e+01, 3.770735465868486358e+01, 9.295148612562699475e-02, 5.953464732760017919e-02
5.140000000000000000e+02, 6.900000000000000000e+01, 9.738907611496148320e+01, 3.761435804318994514e+01, 9.542582121504598891e-02, 5.364282836514639580e-02
4.750000000000000000e+02, 8.900000000000000000e+01, 9.224802180815746055e+01, 4.081936014489826903e+01, 9.120536858544045500e-02, 6.317847286594119316e-02
5.030000000000000000e+02, 5.400000000000000000e+01, 9.211839628807004487e+01, 3.572731643690820391e+01, 9.729721543421386565e-02, 4.978721400681877796e-02
4.390000000000000000e+02, 6.400000000000000000e+01, 8.925057437367594559e+01, 3.749206702040775951e+01, 1.070490302604629046e-01, 5.440500868539482199e-02
6.480000000000000000e+02, 9.000000000000000000e+01, 1.202946981473741204e+02, 4.176583750823196084e+01, 1.107571125701333203e-01, 5.988831631213365619e-02
4.860000000000000000e+02, 7.200000000000000000e+01, 9.799517193050158426e+01, 4.031123362905423591e+01, 9.682545807976480901e-02, 5.371754665792991684e-02
5.190000000000000000e+02, 7.900000000000000000e+01, 1.022798580113927187e+02, 4.522782045539810980e+01, 9.586725251229114009e-02, 5.984675592502929076e-02
4.680000000000000000e+02, 8.200000000000000000e+01, 1.019325336402902451e+02, 4.233749757141482917e+01, 9.506117829173521550e-02, 5.669377049467719948e-02
2.220000000000000000e+02, 1.700000000000000000e+01, 4.812769986306582837e+01, 2.052806533590948135e+01, 8.169976473806431216e-02, 5.074100860249827760e-02
2.800000000000000000e+02, 4.000000000000000000e+01, 6.979993834288232790e+01, 3.736456155203524077e+01, 8.367674412031299302e-02, 3.913467703753405885e-02
2.370000000000000000e+02, 2.900000000000000000e+01, 5.935840024797516179e+01, 3.681673817473627963e+01, 7.001536033316792251e-02, 3.881202075438137250e-02
3.360000000000000000e+02, 3.000000000000000000e+01, 7.013624659088476676e+01, 3.448603788006104054e+01, 8.995845869811595896e-02, 3.830704338375526263e-02
1.720000000000000000e+02, 2.300000000000000000e+01, 5.135001080607993629e+01, 3.346204072235435234e+01, 6.895263545723993859e-02, 3.780727830630428721e-02
2.070000000000000000e+02, 1.100000000000000000e+01, 5.622694297060876778e+01, 3.185157448867593999e+01, 6.893412432299886317e-02, 3.777767806137852236e-02
2.270000000000000000e+02, 3.300000000000000000e+01, 6.058156270179416936e+01, 3.513634067508043302e+01, 8.826913639712455351e-02, 4.018240783822827483e-02
2.760000000000000000e+02, 4.300000000000000000e+01, 6.799108007856749225e+01, 3.263994815881773803e+01, 9.708516204560946328e-02, 4.408438263104569321e-02
2.490000000000000000e+02, 3.800000000000000000e+01, 5.770202916788986869e+01, 3.397785876449374598e+01, 8.572664735723248275e-02, 4.734679273054263893e-02
2.600000000000000000e+02, 5.600000000000000000e+01, 6.460321304099205975e+01, 3.653389858693647341e+01, 9.792462365699716731e-02, 4.246364339531614324e-02
2.520000000000000000e+02, 2.600000000000000000e+01, 6.172160796942282701e+01, 3.508987014880398903e+01, 8.552496056831845883e-02, 3.995807401150876237e-02
3.470000000000000000e+02, 3.500000000000000000e+01, 7.317774586363483991e+01, 3.638608800662039044e+01, 1.029855515465637472e-01, 4.133090198194349502e-02
2.610000000000000000e+02, 1.900000000000000000e+01, 6.117203639102133650e+01, 3.291942049003438342e+01, 8.513592821518306542e-02, 3.564633323571742701e-02
3.250000000000000000e+02, 1.000000000000000000e+01, 6.764230639166626702e+01, 2.947458604237191793e+01, 1.018656473957024744e-01, 3.225996491605295780e-02
2.200000000000000000e+02, 2.300000000000000000e+01, 5.595141933585718164e+01, 3.508196049606025468e+01, 7.717689878974984263e-02, 3.434109684606295038e-02
1.860000000000000000e+02, 3.700000000000000000e+01, 5.482753217038366245e+01, 4.152103425223780420e+01, 7.506089168458958405e-02, 4.199486345294747847e-02
2.780000000000000000e+02, 4.500000000000000000e+01, 6.265974174229911142e+01, 3.715718758439493286e+01, 8.041169795579326818e-02, 4.323423939199647070e-02
1.370000000000000000e+02, 5.600000000000000000e+01, 4.520538171760786383e+01, 3.684354341527297549e+01, 6.098885968113360034e-02, 3.971135180897807093e-02
1.710000000000000000e+02, 2.600000000000000000e+01, 4.830468068677905080e+01, 3.771327415748145739e+01, 6.843010745787644900e-02, 4.045764786717155614e-02
1.720000000000000000e+02, 2.400000000000000000e+01, 5.075634664514234373e+01, 3.438535771430823473e+01, 7.220943230293636050e-02, 3.463323733746521971e-02
2.300000000000000000e+02, 4.400000000000000000e+01, 5.471593826537340988e+01, 3.226808523217324165e+01, 8.321636221962314117e-02, 4.058059442620121082e-02
1.580000000000000000e+02, 2.200000000000000000e+01, 5.002286375775195637e+01, 3.017362352433411488e+01, 7.466750005390461464e-02, 3.253455417366301478e-02
5.420000000000000000e+02, 4.000000000000000000e+01, 1.101100264979889403e+02, 3.396211991375052719e+01, 1.237866865415896411e-01, 3.843727897300153878e-02
2.520000000000000000e+02, 4.700000000000000000e+01, 6.129765949139324732e+01, 3.304859808728024007e+01, 8.399808923297194529e-02, 4.101161750464061423e-02
2.480000000000000000e+02, 2.300000000000000000e+01, 5.898497229889620996e+01, 3.150835624605448615e+01, 7.291408659922576918e-02, 3.178739741858212231e-02
2.090000000000000000e+02, 3.500000000000000000e+01, 6.057807815762483017e+01, 3.546125768004578305e+01, 8.509779809595077738e-02, 3.618200485706710851e-02
1.880000000000000000e+02, 2.200000000000000000e+01, 5.130512336667775486e+01, 3.339064400825188272e+01, 7.131030659170224661e-02, 3.538242359392345521e-02
1.180000000000000000e+02, 2.900000000000000000e+01, 4.034572777827757051e+01, 3.833335257252478812e+01, 6.075192952807897256e-02, 3.897190419805252742e-02
2.470000000000000000e+02, 6.600000000000000000e+01, 6.136471975159243897e+01, 4.709893720800704386e+01, 7.810281620378083101e-02, 4.618524997919275926e-02
2.790000000000000000e+02, 2.900000000000000000e+01, 6.504830621993529860e+01, 3.715333437724027021e+01, 8.682097955866523165e-02, 4.115872239551490036e-02
2.530000000000000000e+02, 3.500000000000000000e+01, 6.594750956212052984e+01, 3.404861994581020923e+01, 9.492794371747131921e-02, 3.873195372411984000e-02
